Title,Year,Rating,Plot,Genre
The Walking Dead,2010–2022,8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,horror
Longlegs,2024,6.7,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.",horror
Supernatural,2005–2020,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",horror
Stranger Things,2016–2025,8.7,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",horror
Salem's Lot,1979,6.7,A novelist and a young horror fan attempt to save a small New England town which has been invaded by vampires.,horror
American Horror Story,2011–,8.0,"An anthology series centering on different characters and locations, showcasing different aspects of horror.",horror
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",musical
Emilia Pérez,2024,7.4,"In Mexico, a lawyer receives an unexpected offer to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",musical
Wicked,2024,N/A,"After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining two-part cinematic event this holiday season.",musical
Piece by Piece,2024,7.4,"A vibrant journey through the life of Pharrell Williams, told through the lens of LEGO animation.",musical
The Nightmare Before Christmas,1993,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",musical
Sing,2016,7.1,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",musical
The Little Mermaid,2023,7.2,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,musical
Moana 2,2024,N/A,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she has ever faced.",musical
Corpse Bride,2005,7.4,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",musical
The Rocky Horror Picture Show,1975,7.4,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,musical
Descendants: The Rise of Red,2024,4.7,"Follows Red, daughter of the Queen of Hearts, and Chloe, daughter of Cinderella, as they team up to save Auradon by traveling back in time using the White Rabbit's pocket watch, to stop an event that would cause grave consequences.",musical
Sing 2,2021,7.3,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,musical
Grease,1978,7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",musical
The Wizard of Oz,1939,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",musical
Wonka,2023,7.0,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",musical
Glee,2009–2015,6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,musical
La La Land,2016,8.0,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",musical
The Lion King,1994,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",musical
The Greatest Showman,2017,7.5,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,musical
Hazbin Hotel,2019–,7.7,"In an attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption.",musical
Charlie and the Chocolate Factory,2005,6.7,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",musical
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",musical
Snow White,2025,N/A,Live-action adaptation of the 1937 Disney animated film 'Snow White and the Seven Dwarfs'.,musical
Mufasa: The Lion King,2024,N/A,"Simba, having become king of the Pride Lands, is determined for his cub to follow in his paw prints while the origins of his late father Mufasa are explored.",musical
Moana,2016,7.6,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.",musical
Detour,1945,7.3,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",film-Noir
Sunset Boulevard,1950,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,film-Noir
The Third Man,1949,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",film-Noir
The Night of the Hunter,1955,8.0,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.",film-Noir
The Big Sleep,1946,7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.",film-Noir
Nightmare Alley,1947,7.7,"The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.",film-Noir
Double Indemnity,1944,8.3,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",film-Noir
Caged,1950,7.6,"A gentle, naive, pregnant 19-year-old widow is slowly, inexorably ground down by the hardened criminals, sadistic guards, and matron at a woman's prison. Will she be the same person when her sentence is up?",film-Noir
Sudden Fear,1952,7.5,"After an ambitious actor insinuates himself into the life of a wealthy middle-aged playwright and marries her, he plots with his mistress to murder her.",film-Noir
Macao,1952,6.6,"Nick Cochran, an American in exile in Macao, has a chance to restore his name by helping capture an international crime lord. Undercover, can he mislead the bad guys and still woo the attractive singer/petty crook, Julie Benson?",film-Noir
